,DEPARTAMENTO,Year,ODS 1.1.1,ODS 1.2.1,ODS 1.3.1,ODS 1.4.1,ODS 2.1.1,ODS 2.2.1,ODS 2.2.2,ODS 3.1.2,ODS 3.2.1,ODS 3.2.2,ODS 3.3.1,ODS 3.3.2,ODS 3.3.3,ODS 3.3.4,ODS 3.5.2,ODS 3.6.1,ODS 3.7.1,ODS 3.7.2,ODS 3.8.1,ODS 3.a.1,ODS 3.c.1,ODS 4.1.1,ODS 4.1.2,ODS 4.1.3,ODS 4.1.4,ODS 4.2.2,ODS 4.3.1,ODS 4.5.1,ODS 4.6.1,ODS 4.a.1,ODS 4.a.2,ODS 4.a.3,ODS 4.c.1,ODS 5.2.1,ODS 5.5.2,ODS 5.5.3,ODS 5.5.4,ODS 6.1.1,ODS 6.2.1,ODS 7.1.1,ODS 7.1.2,ODS 8.1.1,ODS 8.2.1,ODS 8.5.1,ODS 8.5.2,ODS 8.6.1,ODS 8.7.1,ODS 9.2.2,ODS 10.1.1,ODS 10.2.1,ODS 10.3.1
39,URBANA,2013,1,16.1,33.3,83.8,24.9,10.3,0.4,97.3,19,10,NA,NA,NA,NA,NA,NA,53.3,53,62.3,NA,NA,NA,NA,NA,NA,3.5,30.3,1,3.5,88.7,77.3,67.3,NA,12.5,NA,NA,32.6,93.4,86.4,99.1,86,NA,NA,6.6,NA,16.7,17.5,12,2.5,23.3,17.3
40,AMAZONAS,2014,12.3,50.3,10,51.9,NA,30.8,0.4,62.7,30,NA,140,25,30,0,59.9,8.6,46.2,NA,80.8,8.2,234,NA,NA,NA,NA,9.5,20.5,NA,9.5,62.7,38.6,34.7,NA,12.5,NA,NA,NA,84.3,60.6,71,31.7,5.2,6.5,4.4,NA,16.2,46.8,4.1,0,25.9,13.2
41,ANCASH,2014,6.1,21.2,25.3,75,NA,20.5,0.2,92.9,18,NA,172,46,0,2,54.2,14.6,43.8,NA,71.6,9.7,1326,NA,NA,NA,NA,9.1,27.6,NA,9.1,88.4,66,24.9,NA,14.4,NA,NA,NA,92.2,77.5,94.3,53.7,-13.6,-16.8,5.4,NA,12.9,50.4,7.2,-2,28.5,16.3
42,APURIMAC,2014,6.1,38.5,12.7,61.5,NA,27.3,0.3,96.8,27,NA,7,24,0,11,63.4,18.4,48,NA,90.8,7.9,403,NA,NA,NA,NA,17.1,26.1,NA,17.1,87.5,64.6,56.2,NA,21.9,NA,NA,NA,91.4,65.4,90.2,24.2,4.4,3.4,4.5,NA,11.4,54.7,NA,-0.9,24.8,6.3
43,AREQUIPA,2014,2.2,7.8,36.5,79.6,NA,7.3,0.3,96,15,NA,251,51,0,3,69.8,17.3,52.1,NA,55.9,11.9,4976,NA,NA,NA,NA,4.6,38.3,NA,4.6,89.5,79.2,34.7,NA,16.7,NA,NA,NA,92.6,82.6,98.4,90.7,-1.1,-0.5,7,NA,15.3,12.1,10.1,1.5,23.3,22.8
44,AYACUCHO,2014,12.3,50.3,12.5,71.9,NA,26.3,0.2,96.9,33,NA,21,39,106,96,55.1,15.2,42.5,NA,85.8,10.2,415,NA,NA,NA,NA,12.7,19.7,NA,12.7,82.3,59.4,63.6,NA,16,NA,NA,NA,89.2,77.2,90,32.6,-0.5,-4.5,4,NA,13.4,42.9,NA,5.2,30.5,12.4
45,CAJAMARCA,2014,19.2,50.3,11.9,62.2,NA,32.2,0.4,74.4,29,NA,38,16,0,4,53.8,8.3,47.1,NA,77.1,10,738,NA,NA,NA,NA,13.1,20.6,NA,13.1,78.3,52.6,33.4,NA,12.7,NA,NA,NA,86.6,78.7,77.3,27.8,-1.9,-2.6,4.2,NA,14.4,65.5,7.2,6.1,29.4,8.1
46,CALLAO,2014,0.2,12.1,45,84.9,NA,7,0,99,20,NA,417,127,0,1,74.3,4.8,55.6,NA,75.1,19,2272,NA,NA,NA,NA,1.9,24.7,NA,1.9,100,71.7,27.2,NA,11,NA,NA,NA,95.2,86.9,99.9,98.5,NA,NA,7.2,NA,20.6,7.6,13.4,0.5,17.1,22.3
47,COSTA,2014,0.9,14.3,37.3,83.8,22,9,1.1,96,NA,NA,NA,NA,NA,NA,73.6,NA,56.9,NA,NA,13.4,NA,NA,NA,NA,NA,3.3,29.3,1.1,3.3,NA,NA,NA,NA,NA,NA,NA,25.8,NA,86.2,98.8,91.1,NA,NA,NA,4.7,17.9,12.6,NA,0.6,NA,18.7
48,COSTA RURAL,2014,9,29.2,NA,NA,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,NA,NA
